# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606mF814    F814       F606     comp     cumweight      pos
    0.2693    25.6212    25.8905    92.2652   325.0346        308
    0.4258    25.6246    26.0503    92.2560   326.1185        309
    0.5485    25.6269    26.1754    92.2496   327.2026        310
    0.2946    25.6272    25.9218    92.2486   328.2866        311
    0.3042    25.6350    25.9392    92.2272   329.3709        312
    0.2934    25.6458    25.9392    92.1972   330.4555        313
    0.3355    25.6523    25.9878    92.1792   331.5403        314
    0.3319    25.6594    25.9913    92.1596   332.6254        315
    0.3596    25.6665    26.0260    92.1400   333.7107        316
    0.3042    25.6801    25.9843    92.0881   334.7966        317
    0.6448    25.6869    26.3317    92.0347   335.8832        318
    0.4065    25.6994    26.1059    91.9364   336.9709        319
    0.6448    25.7008    26.3456    91.9253   338.0587        320
    0.3439    25.7029    26.0469    91.9086   339.1468        321
    0.3102    25.7054    26.0156    91.8895   340.2350        322
    0.3235    25.7095    26.0330    91.8569   341.3237        323
    0.3499    25.7178    26.0677    91.7919   342.4131        324
    0.5774    25.7300    26.3074    91.6957   343.5037        325
    0.3114    25.7424    26.0538    91.5982   344.5954        326
    0.3283    25.7429    26.0712    91.5941   345.6872        327
    0.3235    25.7442    26.0677    91.5836   346.7791        328
    0.3608    25.7521    26.1129    91.5218   347.8717        329
    0.3812    25.7525    26.1337    91.5188   348.9644        330
    0.2861    25.7538    26.0399    91.5087   350.0572        331
    0.3343    25.7543    26.0885    91.5048   351.1500        332
    0.3054    25.7553    26.0607    91.4962   352.2429        333
    0.2982    25.7695    26.0677    91.3847   353.3372        334
    0.3487    25.7711    26.1198    91.3724   354.4316        335
    0.3259    25.7766    26.1024    91.3291   355.5266        336
    0.3632    25.7775    26.1406    91.3220   356.6216        337
    0.3475    25.7827    26.1302    91.2809   357.7171        338
    0.3319    25.7879    26.1198    91.2398   358.8131        339
    0.2898    25.7884    26.0781    91.2364   359.9092        340
    0.3981    25.7912    26.1893    91.2140   361.0055        341
    0.3042    25.7913    26.0955    91.2133   362.1019        342
    0.2825    25.7921    26.0746    91.2069   363.1983        343
    0.3608    25.7973    26.1580    91.1664   364.2952        344
    0.4233    25.8007    26.2240    91.1395   365.3924        345
    0.4546    25.8076    26.2622    91.0850   366.4902        346
    0.9866    25.8106    26.7972    91.0612   367.5884        347
    0.3367    25.8144    26.1511    91.0534   368.6867        348
    0.3740    25.8292    26.2032    91.0261   369.7853        349
    0.4775    25.8299    26.3074    91.0247   370.8839        350
    0.9938    25.8312    26.8250    91.0223   371.9825        351
    0.3752    25.8349    26.2101    91.0154   373.0812        352
    0.3776    25.8360    26.2136    91.0135   374.1799        353
    0.5052    25.8404    26.3456    91.0053   375.2788        354
    0.2958    25.8414    26.1372    91.0035   376.3776        355
    0.3812    25.8428    26.2240    91.0009   377.4765        356
    0.4041    25.8477    26.2518    90.9918   378.5755        357
    0.3692    25.8479    26.2171    90.9915   379.6745        358
    0.4594    25.8549    26.3143    90.9785   380.7737        359
    0.4017    25.8606    26.2622    90.9681   381.8730        360
    1.6882    25.8628    27.5510    90.9639   382.9723        361
    0.3921    25.8667    26.2588    90.9567   384.0717        362
    0.3848    25.8705    26.2553    90.9498   385.1713        363
    0.4294    25.8746    26.3039    90.9422   386.2709        364
    0.3788    25.8834    26.2622    90.9258   387.3706        365
    0.3728    25.8929    26.2657    90.9083   388.4707        366
    0.3921    25.9188    26.3109    90.8604   389.5712        367
    0.3487    25.9205    26.2692    90.8574   390.6719        368
    0.4306    25.9463    26.3769    90.8096   391.7731        369
    0.4354    25.9484    26.3838    90.8056   392.8743        370
    0.4053    25.9542    26.3595    90.7950   393.9757        371
    0.4113    25.9551    26.3664    90.7932   395.0771        372
    0.3608    25.9605    26.3213    90.7833   396.1786        373
    0.4065    25.9634    26.3699    90.7779   397.2802        374
    0.5293    25.9657    26.4950    90.7737   398.3819        375
    0.3945    25.9685    26.3630    90.7685   399.4836        376
    0.4005    25.9694    26.3699    90.7668   400.5853        377
    0.4414    25.9702    26.4116    90.7654   401.6870        378
    0.4534    25.9825    26.4359    90.7283   402.7892        379
    0.3824    25.9840    26.3664    90.7233   403.8915        380
    0.3668    25.9927    26.3595    90.6950   404.9941        381
    0.4125    25.9956    26.4081    90.6855   406.0968        382
    0.3981    25.9996    26.3977    90.6724   407.1997        383
    0.5052    26.0002    26.5054    90.6705   408.3026        384
    0.4342    26.0017    26.4359    90.6655   409.4055        385
    0.3945    26.0033    26.3977    90.6606   410.5085        386
    0.5329    26.0038    26.5367    90.6588   411.6116        387
    0.3896    26.0046    26.3942    90.6563   412.7146        388
    0.3463    26.0097    26.3560    90.6396   413.8179        389
    0.3740    26.0098    26.3838    90.6393   414.9212        390
    0.2573    26.0119    26.2692    90.6324   416.0245        391
    0.3572    26.0128    26.3699    90.6296   417.1279        392
    0.3908    26.0138    26.4047    90.6262   418.2314        393
    0.3680    26.0158    26.3838    90.6196   419.3349        394
    0.4137    26.0187    26.4324    90.6102   420.4385        395
    0.5124    26.0208    26.5332    90.6035   421.5422        396
    0.4053    26.0237    26.4290    90.5941   422.6460        397
    0.3957    26.0264    26.4220    90.5853   423.7500        398
    0.3608    26.0265    26.3873    90.5848   424.8539        399
    0.4077    26.0317    26.4394    90.5679   425.9581        400
    0.3572    26.0371    26.3942    90.5504   427.0624        401
    0.5100    26.0371    26.5471    90.5504   428.1668        402
    0.4498    26.0382    26.4880    90.5467   429.2712        403
    0.4594    26.0425    26.5019    90.5328   430.3757        404
    0.4258    26.0449    26.4707    90.5249   431.4804        405
    0.3884    26.0510    26.4394    90.5052   432.5853        406
    0.4258    26.0519    26.4776    90.5022   433.6903        407
    0.4438    26.0546    26.4985    90.4931   434.7953        408
    0.4173    26.0603    26.4776    90.4748   435.9006        409
    0.4101    26.0606    26.4707    90.4739   437.0059        410
    0.4883    26.0622    26.5506    90.4684   438.1113        411
    0.3547    26.0638    26.4186    90.4633   439.2167        412
    0.4354    26.0665    26.5019    90.4544   440.3222        413
    0.3860    26.0673    26.4533    90.4521   441.4278        414
    0.4258    26.0692    26.4950    90.4456   442.5334        415
    0.3716    26.0748    26.4463    90.4276   443.6393        416
    0.4077    26.0769    26.4846    90.4208   444.7452        417
    0.4077    26.0803    26.4880    90.4094   445.8513        418
    0.4366    26.0827    26.5193    90.4017   446.9575        419
    0.4414    26.0848    26.5262    90.3947   448.0637        420
    0.4763    26.0882    26.5645    90.3839   449.1701        421
    0.4811    26.0903    26.5714    90.3770   450.2766        422
    0.4185    26.0938    26.5123    90.3655   451.3832        423
    0.6015    26.0985    26.6999    90.3413   452.4901        424
    0.4101    26.0988    26.5089    90.3386   453.5971        425
    0.4643    26.1037    26.5679    90.2944   454.7045        426
    0.3559    26.1043    26.4602    90.2887   455.8121        427
    1.1166    26.1079    27.2245    90.2559   456.9201        428
    0.4474    26.1101    26.5575    90.2363   458.0283        429
    0.4354    26.1326    26.5679    90.0336   459.1390        430
    0.4619    26.1339    26.5957    90.0217   460.2498        431
    0.4582    26.1340    26.5922    90.0205   461.3607        432
    1.4331    26.1353    27.5684    90.0086   462.4717        433
    0.5437    26.1354    26.6791    90.0078   463.5827        434
    0.3307    26.1365    26.4672    89.9978   464.6938        435
    0.4486    26.1402    26.5888    89.9649   465.8054        436
    1.1166    26.1427    27.2592    89.9422   466.9172        437
    0.4871    26.1433    26.6305    89.9362   468.0291        438
    0.4787    26.1448    26.6235    89.9229   469.1412        439
    0.9926    26.1450    27.1376    89.9208   470.2532        440
    0.4029    26.1477    26.5506    89.8970   471.3656        441
    0.4233    26.1481    26.5714    89.8935   472.4781        442
    0.4221    26.1493    26.5714    89.8826   473.5906        443
    0.4318    26.1501    26.5818    89.8755   474.7033        444
    0.4546    26.1585    26.6131    89.7996   475.8169        445
    0.3572    26.1621    26.5193    89.7663   476.9309        446
    0.4811    26.1737    26.6548    89.6623   478.0462        447
    0.5461    26.1747    26.7208    89.6532   479.1616        448
    0.5365    26.1843    26.7208    89.5662   480.2781        449
    0.5256    26.1847    26.7104    89.5625   481.3946        450
    0.4065    26.1858    26.5922    89.5532   482.5113        451
    0.4570    26.1908    26.6478    89.5077   483.6285        452
    0.4270    26.2035    26.6305    89.3929   484.7471        453
    0.4775    26.2155    26.6930    89.2847   485.8671        454
    0.4607    26.2219    26.6826    89.2266   486.9879        455
    0.5437    26.2222    26.7659    89.2236   488.1087        456
    0.3283    26.2258    26.5540    89.1918   489.2298        457
    1.2249    26.2428    27.4677    89.0382   490.3530        458
    0.2729    26.2464    26.5193    89.0056   491.4765        459
    0.3210    26.2469    26.5679    89.0012   492.6001        460
    0.3210    26.2469    26.5679    89.0012   493.7236        461
    0.5497    26.2475    26.7972    88.9957   494.8473        462
    0.4558    26.2510    26.7069    88.9636   495.9714        463
    0.4510    26.2628    26.7138    88.9186   497.0960        464
    0.5148    26.2685    26.7833    88.9017   498.2208        465
    0.5172    26.2765    26.7937    88.8779   499.3460        466
    0.4462    26.2815    26.7277    88.8631   500.4713        467
    0.4811    26.2848    26.7659    88.8532   501.5967        468
    0.4895    26.2868    26.7764    88.8473   502.7223        469
    0.5377    26.2908    26.8285    88.8355   503.8479        470
    0.7495    26.2909    27.0404    88.8353   504.9736        471
    0.4811    26.2918    26.7729    88.8326   506.0993        472
    0.5184    26.2996    26.8180    88.8093   507.2253        473
    0.1911    26.3004    26.4915    88.8069   508.3514        474
    0.4715    26.3014    26.7729    88.8040   509.4774        475
    0.5160    26.3090    26.8250    88.7815   510.6038        476
    0.4438    26.3152    26.7590    88.7631   511.7304        477
    0.4149    26.3163    26.7312    88.7598   512.8570        478
    0.5630    26.3176    26.8806    88.7558   513.9837        479
    0.5220    26.3203    26.8424    88.7478   515.1105        480
    0.9709    26.3230    27.2940    88.7398   516.2374        481
    0.4811    26.3230    26.8042    88.7398   517.3643        482
    0.4438    26.3256    26.7694    88.7321   518.4913        483
    0.5870    26.3283    26.9153    88.7242   519.6184        484
    0.4607    26.3366    26.7972    88.6997   520.7458        485
