# datafile= 47tuc_fromUV.raw
#  F225mF336 F225 F336     comp       cumweight      pos
-0.662 21.4130 22.0750 0.558760521413 339.812397331 339
-0.807 21.2730 22.0800 0.75348622023 341.139561615 341
-0.814 21.2670 22.0810 0.946131065208 342.196497632 342
-0.549 21.5320 22.0810 0.944591668324 343.255156134 343
-0.759 21.3250 22.0840 0.957075907502 344.300005338 344
-0.599 21.4880 22.0870 0.738559504264 345.653992382 346
-0.809 21.2810 22.0900 0.957786905401 346.698065958 347
-0.752 21.3390 22.0910 0.909243036827 347.797881915 349
-0.661 21.4310 22.0920 0.722330412738 349.182289912 350
-0.804 21.2940 22.0980 0.892682775153 350.302508681 352
-0.949 21.1570 22.1060 0.956373353966 351.348125433 354
-0.529 21.5820 22.1110 0.943496528063 352.408012746 355
-0.832 21.2810 22.1130 0.943195573819 353.468238247 356
-0.926 21.1880 22.1140 0.502502674203 355.458277408 357
-0.736 21.3870 22.1230 0.956922396578 356.503294228 361
-0.789 21.3370 22.1260 0.836911031669 357.698164366 363
-0.785 21.3440 22.1290 0.956996848327 358.743099887 364
-0.741 21.3900 22.1310 0.936762269301 359.810606588 367
-0.741 21.3910 22.1320 0.888614876348 360.935953492 369
-0.972 21.1650 22.1370 0.292263671144 364.357521408 370
-0.781 21.3580 22.1390 0.816564815295 365.582163936 372
-0.87 21.2690 22.1390 0.896889375115 366.697128644 373
-0.664 21.4790 22.1430 0.784457820409 367.971894443 374
-0.767 21.3760 22.1430 0.945172782417 369.029902056 375
-0.744 21.4010 22.1450 0.759754441124 370.346116804 377
-0.522 21.6250 22.1470 0.755516699614 371.669714284 378
-0.758 21.3940 22.1520 0.948501726639 372.724008622 379
-0.655 21.4990 22.1540 0.775153961648 374.014074918 380
-0.672 21.4830 22.1550 0.790530831254 375.279047719 381
-0.756 21.4040 22.1600 0.342255041555 378.200845439 383
-0.67 21.4910 22.1610 0.585218500185 379.909608917 384
-0.809 21.3580 22.1670 0.790895849374 381.173997902 385
-0.729 21.4390 22.1680 0.517658830805 383.105772153 386
-0.526 21.6430 22.1690 0.781504082382 384.385356 388
-0.881 21.2900 22.1710 0.953760907173 385.433836801 390
-0.671 21.5030 22.1740 0.85732254837 386.600258939 391
-0.738 21.4370 22.1750 0.788382839665 387.868678227 392
-0.821 21.3550 22.1760 0.955102820685 388.915685919 394
-0.647 21.5310 22.1780 0.400194887589 391.414468465 395
-0.825 21.3700 22.1950 0.95509546125 392.461484224 399
-0.806 21.3900 22.1960 0.937482638935 393.528170644 400
-0.699 21.4980 22.1970 0.891400542356 394.65000079 401
-0.98 21.2170 22.1970 0.935664629863 395.718759796 402
-0.968 21.2290 22.1970 0.869215939312 396.869221902 403
-0.793 21.4060 22.1990 0.947522694805 397.924605594 404
-0.732 21.4670 22.1990 0.948783388543 398.978586947 405
-0.807 21.3970 22.2040 0.754461251591 400.304036065 406
-0.89 21.3160 22.2060 0.805195480161 401.545970508 407
-0.697 21.5140 22.2110 0.8154466094 402.772292364 408
-0.746 21.4670 22.2130 0.878882654404 403.910100688 410
-0.726 21.4890 22.2150 0.857271093704 405.076592837 411
-0.8 21.4170 22.2170 0.951354336839 406.127725902 412
-0.572 21.6490 22.2210 0.766807355623 407.431834414 413
-0.454 21.7710 22.2250 0.88725691073 408.558903686 414
-0.469 21.7650 22.2340 0.947381170546 409.614445036 417
-0.716 21.5200 22.2360 0.925880446129 410.694498086 419
-0.908 21.3360 22.2440 0.935790637628 411.76311318 421
-0.815 21.4420 22.2570 0.394730061983 414.296490028 423
-0.502 21.7570 22.2590 0.813173642919 415.526239674 424
-0.777 21.4830 22.2600 0.937626331969 416.592762623 425
-0.725 21.5350 22.2600 0.950432059102 417.644915683 426
-0.972 21.2880 22.2600 0.933374595186 418.71629689 427
-0.799 21.4660 22.2650 0.953910021483 419.764613793 429
-1.033 21.2330 22.2660 0.938158956606 420.830531241 430
-0.631 21.6370 22.2680 0.894738532886 421.948176187 431
-0.746 21.5270 22.2730 0.752552542387 423.276987059 432
-0.736 21.5370 22.2730 0.605838659684 424.92759153 433
-0.379 21.8950 22.2740 0.702041046898 426.352009666 435
-0.473 21.8040 22.2770 0.937171565562 427.419050149 436
-0.423 21.8570 22.2800 0.804710508194 428.661733064 438
-0.648 21.6350 22.2830 0.818757327039 429.88309618 439
-0.575 21.7120 22.2870 0.47579143111 431.984857445 441
-0.789 21.5000 22.2890 0.824726456329 433.197380691 443
-0.739 21.5520 22.2910 0.902020133151 434.306003396 444
-0.607 21.6850 22.2920 0.420073465774 436.686539377 445
-0.479 21.8150 22.2940 0.885320429771 437.816073912 446
-0.82 21.4780 22.2980 0.944102219005 438.875281252 447
-0.466 21.8330 22.2990 0.614211298067 440.503385462 448
-0.66 21.6410 22.3010 0.488894947421 442.548814659 451
-0.713 21.5890 22.3020 0.887809426458 443.675182515 452
-0.733 21.5700 22.3030 0.93949908266 444.73957951 454
-1.037 21.2660 22.3030 0.799342272365 445.990608055 455
-0.716 21.5870 22.3030 0.940979916191 447.053329993 456
-0.737 21.5670 22.3040 0.861238787809 448.214448157 457
-0.715 21.5900 22.3050 0.941304937911 449.276803149 458
-0.605 21.7020 22.3070 0.474199944931 451.38561824 459
-0.612 21.6990 22.3110 0.75672653605 452.707099584 461
-0.639 21.6750 22.3140 0.711540323265 454.112501312 463
-0.686 21.6310 22.3170 0.922130320704 455.196946729 465
-0.835 21.4840 22.3190 0.398855037163 457.704123289 466
-0.815 21.5040 22.3190 0.952343550721 458.754164526 467
-0.71 21.6100 22.3200 0.630358129231 460.34056431 468
-0.658 21.6630 22.3210 0.87435489468 461.484264661 469
-0.543 21.7800 22.3230 0.651061451322 463.020217984 470
-0.938 21.3870 22.3250 0.561256341748 464.801935046 471
-0.64 21.6850 22.3250 0.864132216194 465.959165365 472
-0.704 21.6240 22.3280 0.949991272002 467.011806615 473
-0.543 21.7890 22.3320 0.682098047665 468.477871506 474
-0.499 21.8390 22.3380 0.369471409674 471.184440874 476
-0.641 21.6990 22.3400 0.951245444425 472.235694266 478
-0.741 21.6010 22.3420 0.95003334283 473.288288902 480
-0.686 21.6560 22.3420 0.471053104311 475.411191799 481
-0.607 21.7360 22.3430 0.865082577984 476.567150809 482
-0.644 21.7000 22.3440 0.85882439679 477.731533194 485
-0.725 21.6240 22.3490 0.608438831537 479.375083783 488
-0.65 21.7000 22.3500 0.89195544327 480.496216019 489
-0.698 21.6520 22.3500 0.935699587117 481.564935097 490
-0.745 21.6060 22.3510 0.947980522953 482.61980909 491
-0.85 21.5010 22.3510 0.644754660132 484.170786635 492
-0.645 21.7060 22.3510 0.676523561525 485.648931754 493
-0.964 21.3890 22.3530 0.951484367245 486.69992117 495
-0.751 21.6030 22.3540 0.888340896499 487.825615151 496
-0.498 21.8580 22.3560 0.677607191928 489.301396418 497
-0.614 21.7440 22.3580 0.927182434895 490.379932812 499
-0.814 21.5480 22.3620 0.852955308582 491.55232718 502
-0.714 21.6480 22.3620 0.94827805182 492.606870199 503
-0.772 21.5920 22.3640 0.949038270466 493.660568486 504
-0.79 21.5760 22.3660 0.946136471082 494.717498465 506
-0.677 21.6890 22.3660 0.926881416732 495.796385129 507
-0.667 21.7010 22.3680 0.928981922332 496.872832341 508
-0.705 21.6650 22.3700 0.708465545724 498.284333586 509
-0.634 21.7370 22.3710 0.894576594171 499.402180852 511
-0.612 21.7590 22.3710 0.730960666309 500.770243521 512
-0.706 21.6660 22.3720 0.870613872299 501.918858345 513
-0.859 21.5140 22.3730 0.886109425876 503.047387137 515
-0.618 21.7590 22.3770 0.936992677428 504.114631337 519
-0.588 21.7940 22.3820 0.934229696402 505.185031907 520
-0.455 21.9280 22.3830 0.39305778044 507.729187118 521
-0.557 21.8320 22.3890 0.546007242276 509.560664656 525
-0.674 21.7160 22.3900 0.941933356656 510.622310889 526
-0.844 21.5460 22.3900 0.949694424405 511.675281165 527
-0.654 21.7370 22.3910 0.845096962703 512.858577336 528
-0.81 21.5820 22.3920 0.924226128704 513.940563626 529
-0.72 21.6720 22.3920 0.92442216311 515.022320468 530
-0.507 21.8930 22.4000 0.900134969984 516.133264974 533
-0.823 21.5780 22.4010 0.700678697828 517.560452647 534
-0.594 21.8110 22.4050 0.757489082704 518.880603687 535
-0.683 21.7280 22.4110 0.890283352467 520.003841583 536
-0.764 21.6500 22.4140 0.945392819089 521.061602949 538
-0.643 21.7760 22.4190 0.878651583564 522.199710498 539
-0.754 21.6660 22.4200 0.926144719925 523.279455357 540
-0.742 21.6820 22.4240 0.922845106514 524.363060821 542
-0.661 21.7630 22.4240 0.902450916602 525.471154327 543
-0.733 21.6920 22.4250 0.946073429336 526.528154734 544
-0.55 21.8870 22.4370 0.756820740884 527.849471588 550
-0.781 21.6560 22.4370 0.61260422623 529.481846875 551
-0.673 21.7670 22.4400 0.928968992766 530.558309069 552
-0.538 21.9050 22.4430 0.901535069963 531.667528259 553
-0.667 21.7780 22.4450 0.919502205339 532.755073231 556
-0.473 21.9740 22.4470 0.866438232791 533.909223593 557
-0.815 21.6390 22.4540 0.598646202733 535.579659312 560
-0.704 21.7520 22.4560 0.946151982797 536.636571962 561
-0.421 22.0370 22.4580 0.515386002297 538.576865248 563
-0.675 21.7870 22.4620 0.927040058218 539.655567286 565
-0.806 21.6580 22.4640 0.946618183538 540.711959417 567
-0.563 21.9040 22.4670 0.881764965332 541.846048476 568
-0.708 21.7620 22.4700 0.729843125459 543.216205932 569
-0.704 21.7670 22.4710 0.877927129253 544.355252633 571
-0.654 21.8210 22.4750 0.726602224289 545.731521472 574
-0.715 21.7640 22.4790 0.946496232287 546.788049714 577
-0.65 21.8390 22.4890 0.862772240843 547.947104158 581
-0.58 21.9110 22.4910 0.622532152004 549.553446894 582
-0.669 21.8220 22.4910 0.911414942249 550.650641984 583
-0.721 21.7710 22.4920 0.939539137663 551.714993601 584
-0.756 21.7390 22.4950 0.947068330758 552.770883622 586
-0.696 21.8030 22.4990 0.936880321616 553.838255811 588
-0.758 21.7420 22.5000 0.946633763712 554.894630556 589
-0.731 21.7700 22.5010 0.944983206664 555.952850419 590
-0.437 22.0640 22.5010 0.452060714355 558.164942663 591
-0.304 22.1980 22.5020 0.725051376127 559.544155272 593
-0.66 21.8440 22.5040 0.5844914204 561.255044371 595
