# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606-F814    F814       F606     comp     cumweight      origpos      xraw       yraw     pos
    0.1152    24.8929    25.0082    94.3126   169.8379        513        731       1630        163
    0.2825    24.8959    25.1784    94.3147   170.8982       1887        870       1581        164
    0.1225    24.8961    25.0186    94.3149   171.9585        144        737       1627        165
    0.0214    24.8965    24.9178    94.3152   173.0188       1626        653       1656        166
    0.0214    24.8965    24.9178    94.3152   174.0790       1956        653       1656        167
    0.0659    24.9041    24.9700    94.3206   175.1393       1426        690       1641        168
    0.0659    24.9041    24.9700    94.3206   176.1995       1943        690       1641        169
    0.0587    24.9043    24.9630    94.3208   177.2597        677        684       1643        170
    0.0587    24.9043    24.9630    94.3208   178.3199       1883        684       1643        171
    0.1140    24.9150    25.0290    94.3285   179.3800        739        730       1624        172
    0.1140    24.9150    25.0290    94.3285   180.4401       1889        730       1624        173
    0.0743    24.9165    24.9908    94.3296   181.5002       1866        697       1635        174
    0.0743    24.9165    24.9908    94.3296   182.5604       1973        697       1635        175
    0.1261    24.9168    25.0429    94.3299   183.6205         60        740       1620        176
    0.1742    24.9277    25.1020    94.3377   184.6805        999        780       1603        177
    0.1116    24.9591    25.0707    94.3603   185.7403       1355        728       1612        178
    0.1116    24.9591    25.0707    94.3603   186.8000       1938        728       1612        179
    0.1152    24.9624    25.0776    94.3491   187.8599       1925        731       1610        180
    0.1152    24.9624    25.0776    94.3491   188.9198       1185        731       1610        181
    0.0551    24.9635    25.0186    94.3450   189.9798        829        681       1627        182
    0.0551    24.9635    25.0186    94.3450   191.0397       1896        681       1627        183
    0.0731    24.9663    25.0394    94.3350   192.0997       1950        696       1621        184
    0.0731    24.9663    25.0394    94.3350   193.1598       1574        696       1621        185
    0.0924    24.9714    25.0638    94.3168   194.2201       1957        712       1614        186
    0.0924    24.9714    25.0638    94.3168   195.2803       1625        712       1614        187
    0.0731    24.9733    25.0464    94.3100   196.3406       1912        696       1619        188
    0.0731    24.9733    25.0464    94.3100   197.4010       1057        696       1619        189
    0.8638    24.9850    25.8488    94.2676   198.4618       1290       1353       1388        190
    0.1405    24.9892    25.1298    94.2525   199.5228        702        752       1595        191
    0.1405    24.9892    25.1298    94.2525   200.5837       1885        752       1595        192
    0.0900    24.9911    25.0811    94.2456   201.6448        768        710       1609        193
    0.0900    24.9911    25.0811    94.2456   202.7059       1893        710       1609        194
    0.1140    24.9949    25.1089    94.2322   203.7671        498        730       1601        195
    0.0912    25.0004    25.0915    94.2124   204.8285       1900        711       1606        196
    0.0912    25.0004    25.0915    94.2124   205.8899        844        711       1606        197
    0.1032    25.0057    25.1089    94.1932   206.9516       1295        721       1601        198
    0.1032    25.0057    25.1089    94.1932   208.0132       1931        721       1601        199
    0.0840    25.0076    25.0915    94.1864   209.0750       1914        705       1606        200
    0.0840    25.0076    25.0915    94.1864   210.1367       1093        705       1606        201
    0.0635    25.0107    25.0742    94.1753   211.1985       1852        688       1611        202
    0.0635    25.0107    25.0742    94.1753   212.2604       1972        688       1611        203
    0.0924    25.0131    25.1054    94.1667   213.3223         88        712       1602        204
    0.2452    25.0270    25.2722    94.1166   214.3848       1910        839       1554        205
    0.1742    25.0354    25.2097    94.0861   215.4477        346        780       1572        206
    0.3993    25.0397    25.4389    94.0709   216.5107       1921        967       1506        207
    0.1417    25.0401    25.1819    94.0692   217.5738        552        753       1580        208
    0.1682    25.0484    25.2166    94.0395   218.6372        832        775       1570        209
    0.1682    25.0484    25.2166    94.0395   219.7005       1898        775       1570        210
    0.0972    25.0569    25.1541    94.0089   220.7643       1884        716       1588        211
    0.1489    25.0572    25.2062    94.0076   221.8280        876        759       1573        212
    0.1489    25.0572    25.2062    94.0076   222.8918       1901        759       1573        213
    0.0984    25.0661    25.1645    93.9757   223.9559       1686        717       1585        214
    0.0984    25.0661    25.1645    93.9757   225.0200       1960        717       1585        215
    0.0840    25.0736    25.1575    93.9488   226.0844       1761        705       1587        216
    0.0840    25.0736    25.1575    93.9488   227.1488       1966        705       1587        217
    0.1201    25.0861    25.2062    93.9037   228.2137       1505        735       1573        218
    0.1201    25.0861    25.2062    93.9037   229.2786       1946        735       1573        219
    0.1189    25.0873    25.2062    93.8993   230.3436       1918        734       1573        220
    0.1189    25.0873    25.2062    93.8993   231.4086       1157        734       1573        221
    0.2777    25.0952    25.3729    93.8709   232.4739       1575        866       1525        222
    0.2777    25.0952    25.3729    93.8709   233.5391       1954        866       1525        223
    0.2741    25.1231    25.3972    93.7704   234.6056        579        863       1518        224
    0.3872    25.1246    25.5119    93.7650   235.6721       1049        957       1485        225
    0.3872    25.1246    25.5119    93.7650   236.7386       1908        957       1485        226
    0.0815    25.1524    25.2340    93.6650   237.8062       1097        703       1565        227
    0.0815    25.1524    25.2340    93.6650   238.8738       1913        703       1565        228
    0.2200    25.1669    25.3868    93.6129   239.9421        917        818       1521        229
    0.2200    25.1669    25.3868    93.6129   241.0103       1904        818       1521        230
    0.1261    25.1704    25.2965    93.6001   242.0787        750        740       1547        231
    0.1261    25.1704    25.2965    93.6001   243.1471       1892        740       1547        232
    0.1887    25.1877    25.3764    93.5378   244.2161        796        792       1524        233
    0.2091    25.1916    25.4007    93.5239   245.2854       1115        809       1517        234
    0.1658    25.1967    25.3625    93.5055   246.3548        669        773       1528        235
    0.2031    25.2115    25.4146    93.4522   247.4249       1517        804       1513        236
    0.1501    25.2262    25.3764    93.3992   248.4956       1261        760       1524        237
    0.1501    25.2262    25.3764    93.3992   249.5663       1928        760       1524        238
    0.1345    25.2280    25.3625    93.3929   250.6370       1202        747       1528        239
    0.1345    25.2280    25.3625    93.3929   251.7077       1923        747       1528        240
    0.2573    25.2546    25.5119    93.2970   252.7796        762        849       1485        241
    0.1417    25.2972    25.4389    93.1872   253.8527       1671        753       1506        242
    0.2573    25.2998    25.5570    93.1811   254.9259        670        849       1472        243
    0.1959    25.3021    25.4980    93.1755   255.9991        653        798       1489        244
    0.2043    25.3041    25.5084    93.1708   257.0724       1283        805       1486        245
    0.1995    25.3193    25.5188    93.1345   258.1461        718        801       1483        246
    0.2272    25.3194    25.5466    93.1343   259.2199        788        824       1475        247
    0.2356    25.3284    25.5640    93.1130   260.2938        287        831       1470        248
    0.2103    25.3293    25.5397    93.1107   261.3678        923        810       1477        249
   -0.2362    25.3312    25.0950    93.1063   262.4418       1924        439       1605        250
    0.2332    25.3377    25.5709    93.0907   263.5161        904        829       1468        251
    0.2115    25.3386    25.5501    93.0888   264.5903       1754        811       1474        252
    0.1610    25.3474    25.5084    93.0677   265.6648       1803        769       1486        253
    0.1947    25.3485    25.5431    93.0652   266.7393       1554        797       1476        254
    0.2151    25.3488    25.5640    93.0643   267.8138        696        814       1470        255
    0.2356    25.3527    25.5883    93.0551   268.8885       1291        831       1463        256
    0.2512    25.3544    25.6057    93.0510   269.9632        957        844       1458        257
    0.2380    25.3607    25.5987    93.0360   271.0380        588        833       1460        258
    0.1863    25.3708    25.5570    93.0121   272.1131       1645        790       1472        259
    0.2007    25.3841    25.5848    92.9803   273.1886        935        802       1464        260
    0.7700    25.3846    26.1545    92.9792   274.2641       1869       1275       1300        261
    0.2236    25.3891    25.6126    92.9686   275.3398       1811        821       1456        262
    0.2910    25.3981    25.6890    92.9471   276.4157       1622        877       1434        263
    0.6171    25.3985    26.0156    92.9462   277.4915       1064       1148       1340        264
    0.2813    25.4008    25.6821    92.9402   278.5675        502        869       1436        265
    0.2765    25.4056    25.6821    92.9247   279.6436         93        865       1436        266
    0.2717    25.4139    25.6856    92.8978   280.7201        281        861       1435        267
    0.2079    25.4255    25.6335    92.8600   281.7970       1853        808       1450        268
    0.2200    25.4309    25.6508    92.8428   282.8741       1708        818       1445        269
    0.1670    25.4387    25.6057    92.8176   283.9515        688        774       1458        270
    0.9589    25.4492    26.4081    92.7834   285.0292       1552       1432       1227        271
    0.8987    25.4503    26.3491    92.7798   286.1071        671       1382       1244        272
    0.3102    25.4553    25.7655    92.7639   287.1851        524        893       1412        273
    0.2813    25.4563    25.7377    92.7604   288.2631        838        869       1420        274
    0.2777    25.4600    25.7377    92.7487   289.3413       1014        866       1420        275
    0.2970    25.4685    25.7655    92.7210   290.4198        556        882       1412        276
    0.3439    25.4702    25.8141    92.7156   291.4984       1335        921       1398        277
    0.2091    25.4765    25.6856    92.6953   292.5772       1640        809       1435        278
    0.2320    25.4779    25.7099    92.6906   293.6560        716        828       1428        279
    0.2777    25.4843    25.7620    92.6700   294.7351        599        866       1413        280
    0.2729    25.5030    25.7759    92.6094   295.8149        656        862       1409        281
    0.2717    25.5077    25.7794    92.5943   296.8949        365        861       1408        282
    0.9300    25.5233    26.4533    92.5437   297.9755       1081       1408       1214        283
    0.2657    25.5241    25.7898    92.5411   299.0561        827        856       1405        284
    0.2585    25.5417    25.8002    92.4854   300.1373       1360        850       1402        285
    0.2849    25.5431    25.8280    92.4817   301.2186       1188        872       1394        286
    0.2224    25.5466    25.7689    92.4719   302.3000       1945        820       1411        287
    0.3235    25.5497    25.8732    92.4633   303.3815        483        904       1381        288
    0.2958    25.5565    25.8523    92.4444   304.4633        568        881       1387        289
    0.2898    25.5591    25.8488    92.4373   305.5451        404        876       1388        290
    0.3126    25.5640    25.8766    92.4237   306.6271       1398        895       1380        291
    0.3186    25.5684    25.8871    92.4115   307.7092        591        900       1377        292
    0.2861    25.5696    25.8558    92.4081   308.7913       1848        873       1386        293
    0.3415    25.5699    25.9114    92.4075   309.8735        567        919       1370        294
    0.3535    25.5717    25.9253    92.4023   310.9557       1818        929       1366        295
    0.2440    25.5736    25.8176    92.3973   312.0380         21        838       1397        296
    0.2561    25.5789    25.8349    92.3825   313.1205        486        848       1392        297
    0.2248    25.5824    25.8072    92.3728   314.2030       1974        822       1400        298
    0.2404    25.5876    25.8280    92.3584   315.2858        558        835       1394        299
    0.2500    25.5884    25.8384    92.3562   316.3685       1273        843       1391        300
    0.2669    25.5924    25.8593    92.3451   317.4514       1561        857       1385        301
    0.3319    25.5934    25.9253    92.3423   318.5344        252        911       1366        302
    0.2982    25.5958    25.8940    92.3356   319.6174       1822        883       1375        303
    0.2922    25.6018    25.8940    92.3189   320.7006        780        878       1375        304
    1.1611    25.6048    26.7659    92.3106   321.7839       1263       1600       1124        305
    0.2825    25.6080    25.8905    92.3019   322.8673        533        870       1376        306
    0.3487    25.6113    25.9600    92.2928   323.9508        401        925       1356        307
    0.2693    25.6212    25.8905    92.2652   325.0346        754        859       1376        308
    0.4258    25.6246    26.0503    92.2560   326.1185       1589        989       1330        309
    0.5485    25.6269    26.1754    92.2496   327.2026        596       1091       1294        310
    0.2946    25.6272    25.9218    92.2486   328.2866       1348        880       1367        311
    0.3042    25.6350    25.9392    92.2272   329.3709       1272        888       1362        312
    0.2934    25.6458    25.9392    92.1972   330.4555        361        879       1362        313
    0.3355    25.6523    25.9878    92.1792   331.5403        700        914       1348        314
    0.3319    25.6594    25.9913    92.1596   332.6254        896        911       1347        315
    0.3596    25.6665    26.0260    92.1400   333.7107       1113        934       1337        316
    0.3042    25.6801    25.9843    92.0881   334.7966       1786        888       1349        317
    0.6448    25.6869    26.3317    92.0347   335.8832        400       1171       1249        318
    0.4065    25.6994    26.1059    91.9364   336.9709        540        973       1314        319
    0.6448    25.7008    26.3456    91.9253   338.0587        566       1171       1245        320
    0.3439    25.7029    26.0469    91.9086   339.1468        499        921       1331        321
    0.3102    25.7054    26.0156    91.8895   340.2350       1408        893       1340        322
    0.3235    25.7095    26.0330    91.8569   341.3237         89        904       1335        323
    0.3499    25.7178    26.0677    91.7919   342.4131       1083        926       1325        324
    0.5774    25.7300    26.3074    91.6957   343.5037       1824       1115       1256        325
    0.3114    25.7424    26.0538    91.5982   344.5954       1029        894       1329        326
    0.3283    25.7429    26.0712    91.5941   345.6872       1065        908       1324        327
    0.3235    25.7442    26.0677    91.5836   346.7791        430        904       1325        328
    0.3608    25.7521    26.1129    91.5218   347.8717       1059        935       1312        329
    0.3812    25.7525    26.1337    91.5188   348.9644       1854        952       1306        330
    0.2861    25.7538    26.0399    91.5087   350.0572       1499        873       1333        331
    0.3343    25.7543    26.0885    91.5048   351.1500        578        913       1319        332
    0.3054    25.7553    26.0607    91.4962   352.2429       1799        889       1327        333
    0.2982    25.7695    26.0677    91.3847   353.3372       1228        883       1325        334
    0.3487    25.7711    26.1198    91.3724   354.4316        522        925       1310        335
    0.3259    25.7766    26.1024    91.3291   355.5266        989        906       1315        336
    0.3632    25.7775    26.1406    91.3220   356.6216       1325        937       1304        337
    0.3475    25.7827    26.1302    91.2809   357.7171        191        924       1307        338
    0.3319    25.7879    26.1198    91.2398   358.8131       1695        911       1310        339
    0.2898    25.7884    26.0781    91.2364   359.9092       1489        876       1322        340
    0.3981    25.7912    26.1893    91.2140   361.0055        875        966       1290        341
    0.3042    25.7913    26.0955    91.2133   362.1019       1074        888       1317        342
    0.2825    25.7921    26.0746    91.2069   363.1983        899        870       1323        343
    0.3608    25.7973    26.1580    91.1664   364.2952       1485        935       1299        344
    0.4233    25.8007    26.2240    91.1395   365.3924        693        987       1280        345
    0.4546    25.8076    26.2622    91.0850   366.4902        818       1013       1269        346
    0.9866    25.8106    26.7972    91.0612   367.5884        930       1455       1115        347
    0.3367    25.8144    26.1511    91.0534   368.6867       1223        915       1301        348
    0.3740    25.8292    26.2032    91.0261   369.7853       1058        946       1286        349
    0.4775    25.8299    26.3074    91.0247   370.8839       1594       1032       1256        350
    0.9938    25.8312    26.8250    91.0223   371.9825       1588       1461       1107        351
    0.3752    25.8349    26.2101    91.0154   373.0812         47        947       1284        352
    0.3776    25.8360    26.2136    91.0135   374.1799        491        949       1283        353
    0.5052    25.8404    26.3456    91.0053   375.2788       1911       1055       1245        354
    0.2958    25.8414    26.1372    91.0035   376.3776       1192        881       1305        355
    0.3812    25.8428    26.2240    91.0009   377.4765       1220        952       1280        356
    0.4041    25.8477    26.2518    90.9918   378.5755       1184        971       1272        357
    0.3692    25.8479    26.2171    90.9915   379.6745        666        942       1282        358
    0.4594    25.8549    26.3143    90.9785   380.7737       1871       1017       1254        359
    0.4017    25.8606    26.2622    90.9681   381.8730         67        969       1269        360
    1.6882    25.8628    27.5510    90.9639   382.9723       1203       2038        898        361
    0.3921    25.8667    26.2588    90.9567   384.0717        487        961       1270        362
    0.3848    25.8705    26.2553    90.9498   385.1713         25        955       1271        363
    0.4294    25.8746    26.3039    90.9422   386.2709        968        992       1257        364
    0.3788    25.8834    26.2622    90.9258   387.3706        734        950       1269        365
    0.3728    25.8929    26.2657    90.9083   388.4707        878        945       1268        366
    0.3921    25.9188    26.3109    90.8604   389.5712       1867        961       1255        367
    0.3487    25.9205    26.2692    90.8574   390.6719       1603        925       1267        368
    0.4306    25.9463    26.3769    90.8096   391.7731        489        993       1236        369
    0.4354    25.9484    26.3838    90.8056   392.8743         34        997       1234        370
    0.4053    25.9542    26.3595    90.7950   393.9757        479        972       1241        371
    0.4113    25.9551    26.3664    90.7932   395.0771        246        977       1239        372
    0.3608    25.9605    26.3213    90.7833   396.1786       1486        935       1252        373
    0.4065    25.9634    26.3699    90.7779   397.2802        531        973       1238        374
    0.5293    25.9657    26.4950    90.7737   398.3819        879       1075       1202        375
    0.3945    25.9685    26.3630    90.7685   399.4836        621        963       1240        376
    0.4005    25.9694    26.3699    90.7668   400.5853       1155        968       1238        377
    0.4414    25.9702    26.4116    90.7654   401.6870        508       1002       1226        378
    0.4534    25.9825    26.4359    90.7283   402.7892       1091       1012       1219        379
